"id_barang,""nama_barang"",""total_stok_barang_awal"",""transaksi"",""barang_terjual"",""sisa_barang"",""harga_beli_barang"",""harga_beli"",""harga_jual"",""keuntungan"",""rata-rata penjualan (satu tahun)"",""tahun"","""","""","""""
"228327,""BERAS KETAN 2 KG"",""6859"",""26"",""6751"",""108"",""42"",""  42,000.00 "",""  44,400.00 "",""2,400.00"",""260"",""2020"","""","""","""""
"270422,""BODREX 1 LEMBAR"",""6926"",""30"",""6358"",""568"",""5"",""  5,000.00 "",""  5,300.00 "",""300.00"",""2"",""2020"","""","""","""""
"251405,""GULA PASIR 1/2 KG"",""6764"",""3619"",""6233"",""531"",""6"",""  6,000.00 "",""  7,400.00 "",""1,400.00"",""212"",""2020"","""","""","""""
"274214,""GULA PASIR 1 KG"",""6781"",""2280"",""5937"",""844"",""12"",""  12,000.00 "",""  13,500.00 "",""1,500.00"",""3"",""2020"","""","""","""""
"137934,""TELOR 1/2KG"",""6758"",""2919"",""3556"",""3202"",""10"",""  10,000.00 "",""  10,800.00 "",""800.00"",""1"",""2020"","""","""","""""
"140130,""GAS 3 KG"",""6755"",""1688"",""3476"",""3279"",""29"",""  29,000.00 "",""  31,800.00 "",""2,800.00"",""2"",""2020"","""","""","""""
"159221,""MIE BECAK 1 PCS"",""6840"",""28"",""3400"",""3440"",""3"",""  3,000.00 "",""  4,300.00 "",""1,300.00"",""121"",""2020"","""","""","""""
"174601,""KEDELE PANDA RENCENG"",""6982"",""28"",""3400"",""3582"",""35"",""  35,000.00 "",""  37,500.00 "",""2,500.00"",""227"",""2020"","""","""","""""
"211180,""MIE MOJANG KWETIAU "",""6926"",""15"",""3400"",""3526"",""22"",""  22,000.00 "",""  24,000.00 "",""2,000.00"",""3"",""2020"","""","""","""""
"181386,""GULA PASIR 1/4 KG"",""6874"",""983"",""3335"",""3539"",""3"",""  3,000.00 "",""  3,600.00 "",""600.00"",""121"",""2020"","""","""","""""
"226847,""MINYAK MALINDA 1 KG"",""6809"",""1456"",""2757"",""4052"",""25"",""  25,000.00 "",""  27,800.00 "",""2,800.00"",""2"",""2020"","""","""","""""
